Price,AAPL.O
Ticker,AAPL
Date,
2010-09-24,8.76698112487793
2010-09-27,8.732192039489746
2010-09-28,8.603231430053711
2010-09-29,8.618526458740234
2010-09-30,8.509956359863281
2010-10-01,8.473069190979004
2010-10-04,8.356701850891113
2010-10-05,8.665614128112793
2010-10-06,8.673110008239746
2010-10-07,8.6740140914917
2010-10-08,8.819467544555664
2010-10-11,8.858152389526367
2010-10-12,8.95352554321289
2010-10-13,9.001507759094238
2010-10-14,9.0665922164917
2010-10-15,9.439380645751953
2010-10-18,9.537155151367188
2010-10-19,9.281927108764648
2010-10-20,9.313121795654297
2010-10-21,9.282831192016602
2010-10-22,9.221344947814941
2010-10-25,9.262433052062988
2010-10-26,9.238741874694824
2010-10-27,9.232141494750977
2010-10-28,9.154463768005371
2010-10-29,9.026704788208008
2010-11-01,9.122672080993652
